ship date;tracking;state;zip;custom weight;weight;zone;I;J;shipper;;;;;;
2016/1/18;1Z091YW70394087274;NC;28778;0;0;8;Delivery Area Surcharge;3.15;M T L International;;;;;;
2016/1/18;1Z091YW70394087274;NC;28778;0;0;8;Fuel Surcharge;0.78;M T L International;;;;;;
2016/1/18;1Z091YW70394087274;NC;28778;0;0;8;Third Party Billing Service;0.39;M T L International;;;;;;
2016/1/18;1Z091YW70394087274;NC;28778;0;0;8;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70397983531;FL;34769;16;28;8;Ground Commercial Third Party;19.36;M T L International;;;;;;
2016/1/19;1Z091YW70397983531;FL;34769;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70397983531;FL;34769;0;0;8;Fuel Surcharge;1.01;M T L International;;;;;;
2016/1/19;1Z091YW70397983531;FL;34769;0;0;8;Third Party Billing Service;0.51;M T L International;;;;;;
2016/1/19;1Z091YW70397983531;FL;34769;0;0;8;Ground Commercial Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70396069763;TX;77346;5;10;6;Ground Residential Third Party;7.91;M T L International;;;;;;
2016/1/19;1Z091YW70396069763;TX;77346;0;0;6;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70396069763;TX;77346;0;0;6;Fuel Surcharge;0.53;M T L International;;;;;;
2016/1/19;1Z091YW70396069763;TX;77346;0;0;6;Third Party Billing Service;0.26;M T L International;;;;;;
2016/1/19;1Z091YW70396069763;TX;77346;0;0;6;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70397898606;WA;98208;5;10;5;Ground Residential Third Party;7.52;M T L International;;;;;;
2016/1/19;1Z091YW70397898606;WA;98208;0;0;5;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70397898606;WA;98208;0;0;5;Fuel Surcharge;0.51;M T L International;;;;;;
2016/1/19;1Z091YW70397898606;WA;98208;0;0;5;Third Party Billing Service;0.25;M T L International;;;;;;
2016/1/19;1Z091YW70397898606;WA;98208;0;0;5;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70395405865;OK;74029;17;30;6;Ground Commercial Third Party;15.55;M T L International;;;;;;
2016/1/19;1Z091YW70395405865;OK;74029;0;0;6;Delivery Area Surcharge - Extended;2.3;M T L International;;;;;;
2016/1/19;1Z091YW70395405865;OK;74029;0;0;6;Fuel Surcharge;0.94;M T L International;;;;;;
2016/1/19;1Z091YW70395405865;OK;74029;0;0;6;Third Party Billing Service;0.47;M T L International;;;;;;
2016/1/19;1Z091YW70395405865;OK;74029;0;0;6;Ground Commercial Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70399706685;TX;76266;16;27;6;Ground Residential Third Party;14.55;M T L International;;;;;;
2016/1/19;1Z091YW70399706685;TX;76266;0;0;6;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70399706685;TX;76266;0;0;6;Delivery Area Surcharge;3.15;M T L International;;;;;;
2016/1/19;1Z091YW70399706685;TX;76266;0;0;6;Fuel Surcharge;1.04;M T L International;;;;;;
2016/1/19;1Z091YW70399706685;TX;76266;0;0;6;Third Party Billing Service;0.52;M T L International;;;;;;
2016/1/19;1Z091YW70399706685;TX;76266;0;0;6;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70395078915;CA;95307;24;40;3;Ground Residential Third Party;11.39;M T L International;;;;;;
2016/1/19;1Z091YW70395078915;CA;95307;0;0;3;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70395078915;CA;95307;0;0;3;Fuel Surcharge;0.71;M T L International;;;;;;
2016/1/19;1Z091YW70395078915;CA;95307;0;0;3;Third Party Billing Service;0.36;M T L International;;;;;;
2016/1/19;1Z091YW70395078915;CA;95307;0;0;3;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70399339555;FL;34135;4;10;8;Ground Residential Third Party;9.73;M T L International;;;;;;
2016/1/19;1Z091YW70399339555;FL;34135;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70399339555;FL;34135;0;0;8;Fuel Surcharge;0.62;M T L International;;;;;;
2016/1/19;1Z091YW70399339555;FL;34135;0;0;8;Third Party Billing Service;0.31;M T L International;;;;;;
2016/1/19;1Z091YW70399339555;FL;34135;0;0;8;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70396426779;IL;60402;5;10;7;Ground Commercial Third Party;8.52;M T L International;;;;;;
2016/1/19;1Z091YW70396426779;IL;60402;0;0;7;Fuel Surcharge;0.45;M T L International;;;;;;
2016/1/19;1Z091YW70396426779;IL;60402;0;0;7;Third Party Billing Service;0.22;M T L International;;;;;;
2016/1/19;1Z091YW70396426779;IL;60402;0;0;7;Ground Commercial Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70397354587;NY;12590;5;10;8;Ground Residential Third Party;9.73;M T L International;;;;;;
2016/1/19;1Z091YW70397354587;NY;12590;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70397354587;NY;12590;0;0;8;Fuel Surcharge;0.62;M T L International;;;;;;
2016/1/19;1Z091YW70397354587;NY;12590;0;0;8;Third Party Billing Service;0.31;M T L International;;;;;;
2016/1/19;1Z091YW70397354587;NY;12590;0;0;8;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70395317193;MO;65625;5;10;6;Ground Residential Third Party;7.91;M T L International;;;;;;
2016/1/19;1Z091YW70395317193;MO;65625;0;0;6;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70395317193;MO;65625;0;0;6;Delivery Area Surcharge - Extended;4;M T L International;;;;;;
2016/1/19;1Z091YW70395317193;MO;65625;0;0;6;Fuel Surcharge;0.74;M T L International;;;;;;
2016/1/19;1Z091YW70395317193;MO;65625;0;0;6;Third Party Billing Service;0.37;M T L International;;;;;;
2016/1/19;1Z091YW70395317193;MO;65625;0;0;6;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70398402817;FL;32726;6;15;8;Ground Residential Third Party;12.56;M T L International;;;;;;
2016/1/19;1Z091YW70398402817;FL;32726;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70398402817;FL;32726;0;0;8;Fuel Surcharge;0.77;M T L International;;;;;;
2016/1/19;1Z091YW70398402817;FL;32726;0;0;8;Third Party Billing Service;0.39;M T L International;;;;;;
2016/1/19;1Z091YW70398402817;FL;32726;0;0;8;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70396892248;FL;33976;17;30;8;Ground Residential Third Party;22;M T L International;;;;;;
2016/1/19;1Z091YW70396892248;FL;33976;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70396892248;FL;33976;0;0;8;Fuel Surcharge;1.26;M T L International;;;;;;
2016/1/19;1Z091YW70396892248;FL;33976;0;0;8;Third Party Billing Service;0.63;M T L International;;;;;;
2016/1/19;1Z091YW70396892248;FL;33976;0;0;8;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70395527653;GA;31069;17;30;8;Ground Residential Third Party;22;M T L International;;;;;;
2016/1/19;1Z091YW70395527653;GA;31069;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70395527653;GA;31069;0;0;8;Delivery Area Surcharge;3.15;M T L International;;;;;;
2016/1/19;1Z091YW70395527653;GA;31069;0;0;8;Fuel Surcharge;1.43;M T L International;;;;;;
2016/1/19;1Z091YW70395527653;GA;31069;0;0;8;Third Party Billing Service;0.72;M T L International;;;;;;
2016/1/19;1Z091YW70395527653;GA;31069;0;0;8;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70398750870;IN;47243;17;30;8;Ground Commercial Third Party;21.29;M T L International;;;;;;
2016/1/19;1Z091YW70398750870;IN;47243;0;0;8;Delivery Area Surcharge - Extended;2.3;M T L International;;;;;;
2016/1/19;1Z091YW70398750870;IN;47243;0;0;8;Fuel Surcharge;1.24;M T L International;;;;;;
2016/1/19;1Z091YW70398750870;IN;47243;0;0;8;Third Party Billing Service;0.62;M T L International;;;;;;
2016/1/19;1Z091YW70398750870;IN;47243;0;0;8;Ground Commercial Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70398687734;KS;67867;16;27;6;Ground Residential Third Party;14.55;M T L International;;;;;;
2016/1/19;1Z091YW70398687734;KS;67867;0;0;6;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70398687734;KS;67867;0;0;6;Delivery Area Surcharge - Extended;4;M T L International;;;;;;
2016/1/19;1Z091YW70398687734;KS;67867;0;0;6;Fuel Surcharge;1.08;M T L International;;;;;;
2016/1/19;1Z091YW70398687734;KS;67867;0;0;6;Third Party Billing Service;0.54;M T L International;;;;;;
2016/1/19;1Z091YW70398687734;KS;67867;0;0;6;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70398453825;PA;19518;13;13;8;Ground Residential Third Party;11.29;M T L International;;;;;;
2016/1/19;1Z091YW70398453825;PA;19518;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70398453825;PA;19518;0;0;8;Fuel Surcharge;0.71;M T L International;;;;;;
2016/1/19;1Z091YW70398453825;PA;19518;0;0;8;Third Party Billing Service;0.35;M T L International;;;;;;
2016/1/19;1Z091YW70397937297;NH;03281;16;27;8;Ground Residential Third Party;20;M T L International;;;;;;
2016/1/19;1Z091YW70397937297;NH;03281;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70397937297;NH;03281;0;0;8;Delivery Area Surcharge;3.15;M T L International;;;;;;
2016/1/19;1Z091YW70397937297;NH;03281;0;0;8;Fuel Surcharge;1.33;M T L International;;;;;;
2016/1/19;1Z091YW70397937297;NH;03281;0;0;8;Third Party Billing Service;0.66;M T L International;;;;;;
2016/1/19;1Z091YW70397937297;NH;03281;0;0;8;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70395226700;OH;44004;16;27;8;Ground Residential Third Party;20;M T L International;;;;;;
2016/1/19;1Z091YW70395226700;OH;44004;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70395226700;OH;44004;0;0;8;Fuel Surcharge;1.16;M T L International;;;;;;
2016/1/19;1Z091YW70395226700;OH;44004;0;0;8;Third Party Billing Service;0.58;M T L International;;;;;;
2016/1/19;1Z091YW70395226700;OH;44004;0;0;8;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70395317924;TX;75077;24;40;6;Ground Residential Third Party;19.59;M T L International;;;;;;
2016/1/19;1Z091YW70395317924;TX;75077;0;0;6;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/19;1Z091YW70395317924;TX;75077;0;0;6;Fuel Surcharge;1.14;M T L International;;;;;;
2016/1/19;1Z091YW70395317924;TX;75077;0;0;6;Third Party Billing Service;0.57;M T L International;;;;;;
2016/1/19;1Z091YW70395317924;TX;75077;0;0;6;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/19;1Z091YW70398595637;CO;80216;24;40;5;Ground Commercial Third Party;14.91;M T L International;;;;;;
2016/1/19;1Z091YW70398595637;CO;80216;0;0;5;Fuel Surcharge;0.78;M T L International;;;;;;
2016/1/19;1Z091YW70398595637;CO;80216;0;0;5;Third Party Billing Service;0.39;M T L International;;;;;;
2016/1/19;1Z091YW70398595637;CO;80216;0;0;5;Ground Commercial Third Party;0;M T L International;;;;;;
2016/1/20;1Z091YW70394842528;TX;77450;17;30;6;Ground Residential Third Party;16.07;M T L International;;;;;;
2016/1/20;1Z091YW70394842528;TX;77450;0;0;6;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/20;1Z091YW70394842528;TX;77450;0;0;6;Fuel Surcharge;0.95;M T L International;;;;;;
2016/1/20;1Z091YW70394842528;TX;77450;0;0;6;Third Party Billing Service;0.48;M T L International;;;;;;
2016/1/20;1Z091YW70394842528;TX;77450;0;0;6;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/20;1Z091YW70396452348;CO;80113;14;14;5;Ground Residential Third Party;7.76;M T L International;;;;;;
2016/1/20;1Z091YW70396452348;CO;80113;0;0;5;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/20;1Z091YW70396452348;CO;80113;0;0;5;Fuel Surcharge;0.52;M T L International;;;;;;
2016/1/20;1Z091YW70396452348;CO;80113;0;0;5;Third Party Billing Service;0.26;M T L International;;;;;;
2016/1/20;1Z091YW70398538789;TX;75428;16;27;6;Ground Residential Third Party;14.55;M T L International;;;;;;
2016/1/20;1Z091YW70398538789;TX;75428;0;0;6;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/20;1Z091YW70398538789;TX;75428;0;0;6;Delivery Area Surcharge - Extended;4;M T L International;;;;;;
2016/1/20;1Z091YW70398538789;TX;75428;0;0;6;Fuel Surcharge;1.08;M T L International;;;;;;
2016/1/20;1Z091YW70398538789;TX;75428;0;0;6;Third Party Billing Service;0.54;M T L International;;;;;;
2016/1/20;1Z091YW70398538789;TX;75428;0;0;6;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/20;1Z091YW70397834808;TX;78223;16;29;6;Ground Commercial Third Party;14.08;M T L International;;;;;;
2016/1/20;1Z091YW70397834808;TX;78223;0;0;6;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/20;1Z091YW70397834808;TX;78223;0;0;6;Fuel Surcharge;0.74;M T L International;;;;;;
2016/1/20;1Z091YW70397834808;TX;78223;0;0;6;Third Party Billing Service;0.37;M T L International;;;;;;
2016/1/20;1Z091YW70397834808;TX;78223;0;0;6;Ground Commercial Third Party;0;M T L International;;;;;;
2016/1/20;1Z091YW70399995757;GA;30620;17;30;8;Ground Residential Third Party;22;M T L International;;;;;;
2016/1/20;1Z091YW70399995757;GA;30620;0;0;8;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/20;1Z091YW70399995757;GA;30620;0;0;8;Delivery Area Surcharge - Extended;4;M T L International;;;;;;
2016/1/20;1Z091YW70399995757;GA;30620;0;0;8;Fuel Surcharge;1.47;M T L International;;;;;;
2016/1/20;1Z091YW70399995757;GA;30620;0;0;8;Third Party Billing Service;0.74;M T L International;;;;;;
2016/1/20;1Z091YW70399995757;GA;30620;0;0;8;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/20;1Z091YW70395421963;MN;55309;17;30;7;Ground Residential Third Party;18.66;M T L International;;;;;;
2016/1/20;1Z091YW70395421963;MN;55309;0;0;7;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/20;1Z091YW70395421963;MN;55309;0;0;7;Delivery Area Surcharge;3.15;M T L International;;;;;;
2016/1/20;1Z091YW70395421963;MN;55309;0;0;7;Fuel Surcharge;1.26;M T L International;;;;;;
2016/1/20;1Z091YW70395421963;MN;55309;0;0;7;Third Party Billing Service;0.63;M T L International;;;;;;
2016/1/20;1Z091YW70395421963;MN;55309;0;0;7;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/20;1Z091YW70396154974;NE;68025;17;30;6;Ground Residential Third Party;16.07;M T L International;;;;;;
2016/1/20;1Z091YW70396154974;NE;68025;0;0;6;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/20;1Z091YW70396154974;NE;68025;0;0;6;Delivery Area Surcharge;3.15;M T L International;;;;;;
2016/1/20;1Z091YW70396154974;NE;68025;0;0;6;Fuel Surcharge;1.12;M T L International;;;;;;
2016/1/20;1Z091YW70396154974;NE;68025;0;0;6;Third Party Billing Service;0.56;M T L International;;;;;;
2016/1/20;1Z091YW70396154974;NE;68025;0;0;6;Ground Residential Third Party;0;M T L International;;;;;;
2016/1/20;1Z091YW70395437394;KS;67361;16;27;6;Ground Residential Third Party;14.55;M T L International;;;;;;
2016/1/20;1Z091YW70395437394;KS;67361;0;0;6;Residential Surcharge;2.11;M T L International;;;;;;
2016/1/20;1Z091YW70395437394;KS;67361;0;0;6;Delivery Area Surcharge - Extended;4;M T L International;;;;;;
2016/1/20;1Z091YW70395437394;KS;67361;0;0;6;Fuel Surcharge;1.08;M T L International;;;;;;
2016/1/20;1Z091YW70395437394;KS;67361;0;0;6;Third Party Billing Service;0.54;M T L International;;;;;;
2016/1/20;1Z091YW70395437394;KS;67361;0;0;6;Ground Residential Third Party;0;M T L International;;;;;;
