ship date;tracking;state;zip;custom weight;weight;zone;G;;I;;;J;shipper
2015/12/22;1Z091YW70394928589;FL;32754;17;30;8;FRT;3;Ground Residential Third Party;0;12.9;21.05;M T L International
2015/12/22;1Z091YW70394928589;FL;32754;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/22;1Z091YW70394928589;FL;32754;0;0;8;ACC;LDR;Delivery Area Surcharge - Extended;0;0;3.8;M T L International
2015/12/22;1Z091YW70394928589;FL;32754;0;0;8;FSC;FSC;Fuel Surcharge;40.85;0.73;1.41;M T L International
2015/12/22;1Z091YW70394928589;FL;32754;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/22;1Z091YW70393032977;FL;34472;16;28;8;FRT;3;Ground Residential Third Party;0;10.97;17.91;M T L International
2015/12/22;1Z091YW70393032977;FL;34472;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/22;1Z091YW70393032977;FL;34472;0;0;8;FSC;FSC;Fuel Surcharge;31.98;0.63;1.05;M T L International
2015/12/22;1Z091YW70393032977;FL;34472;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70391953842;MO;65625;16;28;6;FRT;3;Ground Residential Third Party;0;7.98;13;M T L International
2015/12/23;1Z091YW70391953842;MO;65625;0;0;6;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70391953842;MO;65625;0;0;6;ACC;LDR;Delivery Area Surcharge - Extended;0;0;3.8;M T L International
2015/12/23;1Z091YW70391953842;MO;65625;0;0;6;FSC;FSC;Fuel Surcharge;27.88;0.47;0.99;M T L International
2015/12/23;1Z091YW70391953842;MO;65625;0;0;6;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70392573055;PA;16828;16;28;8;FRT;3;Ground Residential Third Party;0;10.97;17.91;M T L International
2015/12/23;1Z091YW70392573055;PA;16828;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70392573055;PA;16828;0;0;8;ACC;RDR;Delivery Area Surcharge;0;0;3;M T L International
2015/12/23;1Z091YW70392573055;PA;16828;0;0;8;FSC;FSC;Fuel Surcharge;34.98;0.63;1.21;M T L International
2015/12/23;1Z091YW70392573055;PA;16828;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70394895883;MO;65775;51;60;6;FRT;3;Ground Residential Third Party;0;16.47;21.82;M T L International
2015/12/23;1Z091YW70394895883;MO;65775;0;0;6;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70394895883;MO;65775;0;0;6;ACC;LDR;Delivery Area Surcharge - Extended;0;0;3.8;M T L International
2015/12/23;1Z091YW70394895883;MO;65775;0;0;6;FSC;FSC;Fuel Surcharge;45.19;0.92;1.45;M T L International
2015/12/23;1Z091YW70394895883;MO;65775;0;0;6;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70394660519;IA;50003;8;8;7;FRT;3;Ground Residential Third Party;0;4.24;7.55;M T L International
2015/12/23;1Z091YW70394660519;IA;50003;0;0;7;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70394660519;IA;50003;0;0;7;ACC;LDR;Delivery Area Surcharge - Extended;0;0;3.8;M T L International
2015/12/23;1Z091YW70394660519;IA;50003;0;0;7;FSC;FSC;Fuel Surcharge;18.69;0.28;0.7;M T L International
2015/12/23;1Z091YW70392081121;OK;74014;17;30;6;FRT;3;Ground Commercial Third Party;0;9.82;14.75;M T L International
2015/12/23;1Z091YW70392081121;OK;74014;0;0;6;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70392081121;OK;74014;0;0;6;FSC;FSC;Fuel Surcharge;24.57;0.52;0.77;M T L International
2015/12/23;1Z091YW70392081121;OK;74014;0;0;6;INF;3;Ground Commercial Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70391157935;FL;33319;16;30;8;FRT;3;Ground Residential Third Party;0;11.34;18.51;M T L International
2015/12/23;1Z091YW70391157935;FL;33319;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70391157935;FL;33319;0;0;8;FSC;FSC;Fuel Surcharge;32.95;0.65;1.08;M T L International
2015/12/23;1Z091YW70391157935;FL;33319;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70395490246;NY;11413;5;10;8;FRT;3;Ground Commercial Third Party;0;5.5;8.99;M T L International
2015/12/23;1Z091YW70395490246;NY;11413;0;0;8;FSC;FSC;Fuel Surcharge;14.49;0.29;0.47;M T L International
2015/12/23;1Z091YW70395490246;NY;11413;0;0;8;INF;3;Ground Commercial Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70397553639;FL;33195;16;16;8;FRT;3;Ground Commercial Third Party;0;7.96;11.94;M T L International
2015/12/23;1Z091YW70397553639;FL;33195;0;0;8;FSC;FSC;Fuel Surcharge;19.9;0.42;0.62;M T L International
2015/12/23;1Z091YW70397883863;MO;65340;17;30;7;FRT;3;Ground Residential Third Party;0;10.84;17.69;M T L International
2015/12/23;1Z091YW70397883863;MO;65340;0;0;7;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70397883863;MO;65340;0;0;7;ACC;LDR;Delivery Area Surcharge - Extended;0;0;3.8;M T L International
2015/12/23;1Z091YW70397883863;MO;65340;0;0;7;FSC;FSC;Fuel Surcharge;35.43;0.63;1.23;M T L International
2015/12/23;1Z091YW70397883863;MO;65340;0;0;7;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70397735291;AR;72117;17;30;7;FRT;3;Ground Commercial Third Party;0;11.41;17.12;M T L International
2015/12/23;1Z091YW70397735291;AR;72117;0;0;7;FSC;FSC;Fuel Surcharge;28.53;0.6;0.9;M T L International
2015/12/23;1Z091YW70397735291;AR;72117;0;0;7;INF;3;Ground Commercial Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70393260462;NC;27253;51;60;8;FRT;3;Ground Residential Third Party;0;23.14;30.67;M T L International
2015/12/23;1Z091YW70393260462;NC;27253;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70393260462;NC;27253;0;0;8;FSC;FSC;Fuel Surcharge;56.91;1.27;1.72;M T L International
2015/12/23;1Z091YW70393260462;NC;27253;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70392660077;NC;27332;51;60;8;FRT;3;Ground Residential Third Party;0;23.14;30.67;M T L International
2015/12/23;1Z091YW70392660077;NC;27332;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70392660077;NC;27332;0;0;8;FSC;FSC;Fuel Surcharge;56.91;1.27;1.72;M T L International
2015/12/23;1Z091YW70392660077;NC;27332;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70399965655;LA;70739;17;30;7;FRT;3;Ground Residential Third Party;0;10.84;17.69;M T L International
2015/12/23;1Z091YW70399965655;LA;70739;0;0;7;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70399965655;LA;70739;0;0;7;FSC;FSC;Fuel Surcharge;31.63;0.63;1.03;M T L International
2015/12/23;1Z091YW70399965655;LA;70739;0;0;7;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70398864686;MI;48815;17;30;8;FRT;3;Ground Residential Third Party;0;12.9;21.05;M T L International
2015/12/23;1Z091YW70398864686;MI;48815;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70398864686;MI;48815;0;0;8;ACC;LDR;Delivery Area Surcharge - Extended;0;0;3.8;M T L International
2015/12/23;1Z091YW70398864686;MI;48815;0;0;8;FSC;FSC;Fuel Surcharge;40.85;0.73;1.41;M T L International
2015/12/23;1Z091YW70398864686;MI;48815;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70395756914;KY;40324;16;28;8;FRT;3;Ground Residential Third Party;0;11.34;18.51;M T L International
2015/12/23;1Z091YW70395756914;KY;40324;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70395756914;KY;40324;0;0;8;FSC;FSC;Fuel Surcharge;32.95;0.65;1.08;M T L International
2015/12/23;1Z091YW70395756914;KY;40324;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70393372109;VA;22712;5;10;8;FRT;3;Ground Residential Third Party;0;5.21;9.28;M T L International
2015/12/23;1Z091YW70393372109;VA;22712;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70393372109;VA;22712;0;0;8;ACC;RDR;Delivery Area Surcharge;0;0;3;M T L International
2015/12/23;1Z091YW70393372109;VA;22712;0;0;8;FSC;FSC;Fuel Surcharge;20.59;0.33;0.75;M T L International
2015/12/23;1Z091YW70393372109;VA;22712;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70392494944;FL;32839;16;28;8;FRT;3;Ground Residential Third Party;0;11.34;18.51;M T L International
2015/12/23;1Z091YW70392494944;FL;32839;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70392494944;FL;32839;0;0;8;FSC;FSC;Fuel Surcharge;32.95;0.65;1.08;M T L International
2015/12/23;1Z091YW70392494944;FL;32839;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70397468875;IA;51035;17;30;6;FRT;3;Ground Commercial Third Party;0;9.82;14.75;M T L International
2015/12/23;1Z091YW70397468875;IA;51035;0;0;6;ACC;LDC;Delivery Area Surcharge - Extended;0;0;2.2;M T L International
2015/12/23;1Z091YW70397468875;IA;51035;0;0;6;FSC;FSC;Fuel Surcharge;26.77;0.52;0.89;M T L International
2015/12/23;1Z091YW70397468875;IA;51035;0;0;6;INF;3;Ground Commercial Third Party;0;0;0;M T L International
2015/12/23;1Z091YW70396864706;FL;33617;16;28;8;FRT;3;Ground Residential Third Party;0;11.34;18.51;M T L International
2015/12/23;1Z091YW70396864706;FL;33617;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/23;1Z091YW70396864706;FL;33617;0;0;8;FSC;FSC;Fuel Surcharge;32.95;0.65;1.08;M T L International
2015/12/23;1Z091YW70396864706;FL;33617;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/24;1Z091YW70398833754;FL;33191;8;8;8;FRT;3;Ground Commercial Third Party;0;4.86;7.93;M T L International
2015/12/24;1Z091YW70398833754;FL;33191;0;0;8;FSC;FSC;Fuel Surcharge;12.79;0.25;0.42;M T L International
2015/12/24;1Z091YW70399299965;TX;78253;8;8;6;FRT;3;Ground Residential Third Party;0;3.99;7.11;M T L International
2015/12/24;1Z091YW70399299965;TX;78253;0;0;6;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/24;1Z091YW70399299965;TX;78253;0;0;6;FSC;FSC;Fuel Surcharge;14.2;0.27;0.48;M T L International
2015/12/24;1Z091YW70398272977;TX;78664;8;8;6;FRT;3;Ground Residential Third Party;0;3.99;7.11;M T L International
2015/12/24;1Z091YW70398272977;TX;78664;0;0;6;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/24;1Z091YW70398272977;TX;78664;0;0;6;FSC;FSC;Fuel Surcharge;14.2;0.27;0.48;M T L International
2015/12/24;1Z091YW70397635390;OK;74008;17;30;6;FRT;3;Ground Residential Third Party;0;9.33;15.24;M T L International
2015/12/24;1Z091YW70397635390;OK;74008;0;0;6;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/24;1Z091YW70397635390;OK;74008;0;0;6;ACC;RDR;Delivery Area Surcharge;0;0;3;M T L International
2015/12/24;1Z091YW70397635390;OK;74008;0;0;6;FSC;FSC;Fuel Surcharge;30.67;0.55;1.06;M T L International
2015/12/24;1Z091YW70397635390;OK;74008;0;0;6;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/24;1Z091YW70396513013;TX;77868;16;28;6;FRT;3;Ground Commercial Third Party;0;8.39;12.59;M T L International
2015/12/24;1Z091YW70396513013;TX;77868;0;0;6;ACC;LDC;Delivery Area Surcharge - Extended;0;0;2.2;M T L International
2015/12/24;1Z091YW70396513013;TX;77868;0;0;6;FSC;FSC;Fuel Surcharge;23.18;0.44;0.78;M T L International
2015/12/24;1Z091YW70396513013;TX;77868;0;0;6;INF;3;Ground Commercial Third Party;0;0;0;M T L International
2015/12/24;1Z091YW70397017834;MT;59484;16;28;5;FRT;3;Ground Commercial Third Party;0;6.83;10.26;M T L International
2015/12/24;1Z091YW70397017834;MT;59484;0;0;5;ACC;LDC;Delivery Area Surcharge - Extended;0;0;2.2;M T L International
2015/12/24;1Z091YW70397017834;MT;59484;0;0;5;FSC;FSC;Fuel Surcharge;19.29;0.36;0.65;M T L International
2015/12/24;1Z091YW70397017834;MT;59484;0;0;5;INF;3;Ground Commercial Third Party;0;0;0;M T L International
2015/12/24;1Z091YW70395396063;ID;83687;21;21;5;FRT;3;Ground Residential Third Party;0;5.68;9.27;M T L International
2015/12/24;1Z091YW70395396063;ID;83687;0;0;5;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/24;1Z091YW70395396063;ID;83687;0;0;5;FSC;FSC;Fuel Surcharge;18.05;0.36;0.59;M T L International
2015/12/24;1Z091YW70398235927;NC;28655;17;32;8;FRT;3;Ground Residential Third Party;0;12.9;21.05;M T L International
2015/12/24;1Z091YW70398235927;NC;28655;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/24;1Z091YW70398235927;NC;28655;0;0;8;FSC;FSC;Fuel Surcharge;37.05;0.74;1.21;M T L International
2015/12/24;1Z091YW70398235927;NC;28655;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/24;1Z091YW70398045730;SC;29045;16;25;8;FRT;3;Ground Commercial Third Party;0;11.55;17.33;M T L International
2015/12/24;1Z091YW70398045730;SC;29045;0;0;8;ACC;LDC;Delivery Area Surcharge - Extended;0;0;2.2;M T L International
2015/12/24;1Z091YW70398045730;SC;29045;0;0;8;FSC;FSC;Fuel Surcharge;31.08;0.61;1.02;M T L International
2015/12/24;1Z091YW70398045730;SC;29045;0;0;8;INF;3;Ground Commercial Third Party;0;0;0;M T L International
2015/12/24;1Z091YW70398096784;TX;77354;16;25;6;FRT;3;Ground Residential Third Party;0;7.98;13;M T L International
2015/12/24;1Z091YW70398096784;TX;77354;0;0;6;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/24;1Z091YW70398096784;TX;77354;0;0;6;FSC;FSC;Fuel Surcharge;24.08;0.47;0.79;M T L International
2015/12/24;1Z091YW70398096784;TX;77354;0;0;6;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/24;1Z091YW70395580023;LA;70734;16;28;7;FRT;3;Ground Commercial Third Party;0;9.94;14.9;M T L International
2015/12/24;1Z091YW70395580023;LA;70734;0;0;7;ACC;RDC;Delivery Area Surcharge;0;0;2.2;M T L International
2015/12/24;1Z091YW70395580023;LA;70734;0;0;7;FSC;FSC;Fuel Surcharge;27.04;0.52;0.9;M T L International
2015/12/24;1Z091YW70395580023;LA;70734;0;0;7;INF;3;Ground Commercial Third Party;0;0;0;M T L International
2015/12/24;1Z091YW70399981851;PA;15468;16;30;8;FRT;3;Ground Residential Third Party;0;10.97;17.91;M T L International
2015/12/24;1Z091YW70399981851;PA;15468;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/24;1Z091YW70399981851;PA;15468;0;0;8;ACC;RDR;Delivery Area Surcharge;0;0;3;M T L International
2015/12/24;1Z091YW70399981851;PA;15468;0;0;8;FSC;FSC;Fuel Surcharge;34.98;0.63;1.21;M T L International
2015/12/24;1Z091YW70399981851;PA;15468;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/24;1Z091YW70398872800;FL;33611;16;30;8;FRT;3;Ground Residential Third Party;0;10.97;17.91;M T L International
2015/12/24;1Z091YW70398872800;FL;33611;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/24;1Z091YW70398872800;FL;33611;0;0;8;FSC;FSC;Fuel Surcharge;31.98;0.63;1.05;M T L International
2015/12/24;1Z091YW70398872800;FL;33611;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/24;1Z091YW70396290442;MA;1453;16;27;8;FRT;3;Ground Residential Third Party;0;10.97;17.91;M T L International
2015/12/24;1Z091YW70396290442;MA;1453;0;0;8;ACC;RES;Residential Surcharge;0;1.09;2.01;M T L International
2015/12/24;1Z091YW70396290442;MA;1453;0;0;8;FSC;FSC;Fuel Surcharge;31.98;0.63;1.05;M T L International
2015/12/24;1Z091YW70396290442;MA;1453;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/28;1Z091YW70390376156;OK;74107;8;8;6;FRT;3;Ground Commercial Third Party;0;4.47;7.27;M T L International
2015/12/28;1Z091YW70390376156;OK;74107;0;0;6;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70390376156;OK;74107;0;0;6;FSC;FSC;Fuel Surcharge;11.74;0.24;0.38;M T L International
2015/12/28;1Z091YW70392924989;OK;73128;8;8;6;FRT;3;Ground Residential Third Party;0;4.23;7.51;M T L International
2015/12/28;1Z091YW70392924989;OK;73128;0;0;6;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70392924989;OK;73128;0;0;6;FSC;FSC;Fuel Surcharge;14.99;0.28;0.51;M T L International
2015/12/28;1Z091YW70392638226;DE;19805;17;30;8;FRT;3;Ground Residential Third Party;0;13.48;22;M T L International
2015/12/28;1Z091YW70392638226;DE;19805;0;0;8;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70392638226;DE;19805;0;0;8;FSC;FSC;Fuel Surcharge;38.73;0.77;1.26;M T L International
2015/12/28;1Z091YW70392638226;DE;19805;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/28;1Z091YW70394774272;AK;99502;32;54;44;FRT;3;Ground Residential Third Party;0;34.31;114.84;M T L International
2015/12/28;1Z091YW70394774272;AK;99502;0;0;44;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70394774272;AK;99502;0;0;44;FSC;FSC;Fuel Surcharge;152.4;1.86;6.14;M T L International
2015/12/28;1Z091YW70394774272;AK;99502;0;0;44;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/28;1Z091YW70394094097;OK;74966;16;30;6;FRT;3;Ground Residential Third Party;0;8.33;13.59;M T L International
2015/12/28;1Z091YW70394094097;OK;74966;0;0;6;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70394094097;OK;74966;0;0;6;ACC;LDR;Delivery Area Surcharge - Extended;0;0;4;M T L International
2015/12/28;1Z091YW70394094097;OK;74966;0;0;6;FSC;FSC;Fuel Surcharge;29.17;0.5;1.03;M T L International
2015/12/28;1Z091YW70394094097;OK;74966;0;0;6;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/28;1Z091YW70393815327;TX;76066;16;30;6;FRT;3;Ground Residential Third Party;0;8.33;13.59;M T L International
2015/12/28;1Z091YW70393815327;TX;76066;0;0;6;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70393815327;TX;76066;0;0;6;ACC;LDR;Delivery Area Surcharge - Extended;0;0;4;M T L International
2015/12/28;1Z091YW70393815327;TX;76066;0;0;6;FSC;FSC;Fuel Surcharge;29.17;0.5;1.03;M T L International
2015/12/28;1Z091YW70393815327;TX;76066;0;0;6;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/28;1Z091YW70391256131;NY;13502;16;28;8;FRT;3;Ground Residential Third Party;0;11.47;18.71;M T L International
2015/12/28;1Z091YW70391256131;NY;13502;0;0;8;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70391256131;NY;13502;0;0;8;FSC;FSC;Fuel Surcharge;33.43;0.66;1.1;M T L International
2015/12/28;1Z091YW70391256131;NY;13502;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/28;1Z091YW70390261378;VA;20169;25;40;8;FRT;3;Ground Residential Third Party;0;13.07;21.31;M T L International
2015/12/28;1Z091YW70390261378;VA;20169;0;0;8;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70390261378;VA;20169;0;0;8;ACC;RDR;Delivery Area Surcharge;0;0;3.15;M T L International
2015/12/28;1Z091YW70390261378;VA;20169;0;0;8;FSC;FSC;Fuel Surcharge;40.78;0.75;1.39;M T L International
2015/12/28;1Z091YW70390261378;VA;20169;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/28;1Z091YW70390971404;NY;14011;8;8;8;FRT;3;Ground Residential Third Party;0;4.82;8.58;M T L International
2015/12/28;1Z091YW70390971404;NY;14011;0;0;8;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70390971404;NY;14011;0;0;8;ACC;RDR;Delivery Area Surcharge;0;0;3.15;M T L International
2015/12/28;1Z091YW70390971404;NY;14011;0;0;8;FSC;FSC;Fuel Surcharge;19.8;0.31;0.73;M T L International
2015/12/28;1Z091YW70391835238;NY;11793;4;10;8;FRT;3;Ground Residential Third Party;0;5.46;9.73;M T L International
2015/12/28;1Z091YW70391835238;NY;11793;0;0;8;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70391835238;NY;11793;0;0;8;FSC;FSC;Fuel Surcharge;18.44;0.35;0.62;M T L International
2015/12/28;1Z091YW70391835238;NY;11793;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/28;1Z091YW70392638244;CO;80916;17;30;5;FRT;3;Ground Residential Third Party;0;7.9;12.9;M T L International
2015/12/28;1Z091YW70392638244;CO;80916;0;0;5;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70392638244;CO;80916;0;0;5;FSC;FSC;Fuel Surcharge;24.05;0.47;0.79;M T L International
2015/12/28;1Z091YW70392638244;CO;80916;0;0;5;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/28;1Z091YW70394788552;MD;21617;17;30;8;FRT;3;Ground Residential Third Party;0;13.48;22;M T L International
2015/12/28;1Z091YW70394788552;MD;21617;0;0;8;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70394788552;MD;21617;0;0;8;ACC;RDR;Delivery Area Surcharge;0;0;3.15;M T L International
2015/12/28;1Z091YW70394788552;MD;21617;0;0;8;FSC;FSC;Fuel Surcharge;41.88;0.77;1.43;M T L International
2015/12/28;1Z091YW70394788552;MD;21617;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/28;1Z091YW70390095576;TX;78155;17;30;6;FRT;3;Ground Residential Third Party;0;9.85;16.07;M T L International
2015/12/28;1Z091YW70390095576;TX;78155;0;0;6;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70390095576;TX;78155;0;0;6;ACC;LDR;Delivery Area Surcharge - Extended;0;0;4;M T L International
2015/12/28;1Z091YW70390095576;TX;78155;0;0;6;FSC;FSC;Fuel Surcharge;33.17;0.58;1.16;M T L International
2015/12/28;1Z091YW70390095576;TX;78155;0;0;6;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/28;1Z091YW70392936010;NY;13212;17;30;8;FRT;3;Ground Residential Third Party;0;13.48;22;M T L International
2015/12/28;1Z091YW70392936010;NY;13212;0;0;8;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70392936010;NY;13212;0;0;8;FSC;FSC;Fuel Surcharge;38.73;0.77;1.26;M T L International
2015/12/28;1Z091YW70392936010;NY;13212;0;0;8;INF;3;Ground Residential Third Party;0;0;0;M T L International
2015/12/28;1Z091YW70391500447;TX;75570;16;25;6;FRT;3;Ground Residential Third Party;0;8.33;13.59;M T L International
2015/12/28;1Z091YW70391500447;TX;75570;0;0;6;ACC;RES;Residential Surcharge;0;1.14;2.11;M T L International
2015/12/28;1Z091YW70391500447;TX;75570;0;0;6;ACC;LDR;Delivery Area Surcharge - Extended;0;0;4;M T L International
2015/12/28;1Z091YW70391500447;TX;75570;0;0;6;FSC;FSC;Fuel Surcharge;29.17;0.5;1.03;M T L International
2015/12/28;1Z091YW70391500447;TX;75570;0;0;6;INF;3;Ground Residential Third Party;0;0;0;M T L International
