SHIP DATE		TRACKING		CITY	STATE	ZIP					WEIGHT	ZONE			
2015/11/6		1Z091YW70390527895		MEARS	MI	49436	ACC	LDC	Delivery Area Surcharge - Extended	1	0	8	0		2.2
2015/11/6		1Z091YW70390527895		MEARS	MI	49436	FSC	FSC	Fuel Surcharge	1	0	8	43.27		2.27
2015/11/6		1Z091YW70390527895		MEARS	MI	49436	INF	3	Ground Commercial Third Party	1	0	8	0		0
2015/11/6		1Z091YW70392248102		DOUGLASVILLE	GA	30134	FRT	3	Ground Residential Third Party	1	40	8	0		41.07
2015/11/6		1Z091YW70392248102		DOUGLASVILLE	GA	30134	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/6		1Z091YW70392248102		DOUGLASVILLE	GA	30134	FSC	FSC	Fuel Surcharge	1	0	8	44.17		2.32
2015/11/6		1Z091YW70392248102		DOUGLASVILLE	GA	30134	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/6		1Z091YW70390993935		CLINTON	IA	52732	FRT	3	Ground Residential Third Party	1	30	7	0		28.53
2015/11/6		1Z091YW70390993935		CLINTON	IA	52732	ACC	RES	Residential Surcharge	1	0	7	0		3.1
2015/11/6		1Z091YW70390993935		CLINTON	IA	52732	FSC	FSC	Fuel Surcharge	1	0	7	31.63		1.66
2015/11/6		1Z091YW70390993935		CLINTON	IA	52732	INF	3	Ground Residential Third Party	1	0	7	0		0
2015/11/9		1Z091YW70392360981		DENVER	CO	80260	FRT	3	Ground Residential Third Party	1	40	5	0		23.82
2015/11/9		1Z091YW70392360981		DENVER	CO	80260	ACC	RES	Residential Surcharge	1	0	5	0		3.1
2015/11/9		1Z091YW70392360981		DENVER	CO	80260	FSC	FSC	Fuel Surcharge	1	0	5	26.92		1.41
2015/11/9		1Z091YW70392360981		DENVER	CO	80260	INF	3	Ground Residential Third Party	1	0	5	0		0
2015/11/9		1Z091YW70393954221		DUNCAN	OK	73533	FRT	3	Ground Residential Third Party	1	30	6	0		24.57
2015/11/9		1Z091YW70393954221		DUNCAN	OK	73533	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/9		1Z091YW70393954221		DUNCAN	OK	73533	ACC	RDR	Delivery Area Surcharge	1	0	6	0		3
2015/11/9		1Z091YW70393954221		DUNCAN	OK	73533	FSC	FSC	Fuel Surcharge	1	0	6	30.67		1.61
2015/11/9		1Z091YW70393954221		DUNCAN	OK	73533	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/9		1Z091YW70393690275		MINDEN	NV	89423	FRT	3	Ground Residential Third Party	1	30	4	0		16.65
2015/11/9		1Z091YW70393690275		MINDEN	NV	89423	ACC	RES	Residential Surcharge	1	0	4	0		3.1
2015/11/9		1Z091YW70393690275		MINDEN	NV	89423	ACC	RDR	Delivery Area Surcharge	1	0	4	0		3
2015/11/9		1Z091YW70393690275		MINDEN	NV	89423	FSC	FSC	Fuel Surcharge	1	0	4	22.75		1.19
2015/11/9		1Z091YW70393690275		MINDEN	NV	89423	INF	3	Ground Residential Third Party	1	0	4	0		0
2015/11/9		1Z091YW70394492139		SOUTH SALT LAKE	UT	84119	FRT	3	Ground Commercial Third Party	1	60	4	0		25.3
2015/11/9		1Z091YW70394492139		SOUTH SALT LAKE	UT	84119	FSC	FSC	Fuel Surcharge	1	0	4	25.3		1.33
2015/11/9		1Z091YW70394492139		SOUTH SALT LAKE	UT	84119	INF	3	Ground Commercial Third Party	1	0	4	0		0
2015/11/9		1Z091YW70393450944		DORAL	FL	33178	FRT	3	Ground Commercial Third Party	1	16	8	0		19.9
2015/11/9		1Z091YW70393450944		DORAL	FL	33178	FSC	FSC	Fuel Surcharge	1	0	8	19.9		1.04
2015/11/9		1Z091YW70393450944		DORAL	FL	33178	INF	3	Ground Commercial Third Party	1	0	8	0		0
2015/11/9		1Z091YW70392852155		WHITE HOUSE	TN	37188	FRT	3	Ground Residential Third Party	1	30	7	0		28.53
2015/11/9		1Z091YW70392852155		WHITE HOUSE	TN	37188	ACC	RES	Residential Surcharge	1	0	7	0		3.1
2015/11/9		1Z091YW70392852155		WHITE HOUSE	TN	37188	FSC	FSC	Fuel Surcharge	1	0	7	31.63		1.66
2015/11/9		1Z091YW70392852155		WHITE HOUSE	TN	37188	INF	3	Ground Residential Third Party	1	0	7	0		0
2015/11/9		1Z091YW70390761560		VAN BUREN	AR	72956	FRT	3	Ground Residential Third Party	1	15	6	0		14.26
2015/11/9		1Z091YW70390761560		VAN BUREN	AR	72956	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/9		1Z091YW70390761560		VAN BUREN	AR	72956	FSC	FSC	Fuel Surcharge	1	0	6	17.36		0.91
2015/11/9		1Z091YW70390761560		VAN BUREN	AR	72956	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/9		1Z091YW70390623174		Roseville	OH	43777	FRT	3	Ground Residential Third Party	1	13	8	0		17.39
2015/11/9		1Z091YW70390623174		Roseville	OH	43777	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/9		1Z091YW70390623174		Roseville	OH	43777	ACC	LDR	Delivery Area Surcharge - Extended	1	0	8	0		3.8
2015/11/9		1Z091YW70390623174		Roseville	OH	43777	FSC	FSC	Fuel Surcharge	1	0	8	24.29		1.28
2015/11/9		1Z091YW70393978992		RIVERHEAD	NY	11901	FRT	3	Ground Commercial Third Party	1	38	8	0		41.07
2015/11/9		1Z091YW70393978992		RIVERHEAD	NY	11901	FSC	FSC	Fuel Surcharge	1	0	8	41.07		2.16
2015/11/9		1Z091YW70393978992		RIVERHEAD	NY	11901	INF	3	Ground Commercial Third Party	1	0	8	0		0
2015/11/9		1Z091YW70390161208		TEANECK	NJ	7666	FRT	3	Ground Commercial Third Party	1	38	8	0		41.07
2015/11/9		1Z091YW70390161208		TEANECK	NJ	7666	FSC	FSC	Fuel Surcharge	1	0	8	41.07		2.16
2015/11/9		1Z091YW70390161208		TEANECK	NJ	7666	INF	3	Ground Commercial Third Party	1	0	8	0		0
2015/11/9		1Z091YW70392871616		TROY	IL	62294	FRT	3	Ground Residential Third Party	1	38	7	0		34.66
2015/11/9		1Z091YW70392871616		TROY	IL	62294	ACC	RES	Residential Surcharge	1	0	7	0		3.1
2015/11/9		1Z091YW70392871616		TROY	IL	62294	FSC	FSC	Fuel Surcharge	1	0	7	37.76		1.98
2015/11/9		1Z091YW70392871616		TROY	IL	62294	INF	3	Ground Residential Third Party	1	0	7	0		0
2015/11/9		1Z091YW70394733039		RUTLEDGE	GA	30663	FRT	3	Ground Residential Third Party	1	38	8	0		41.07
2015/11/9		1Z091YW70394733039		RUTLEDGE	GA	30663	ACC	RES	Residential Surcharge	1	0	8	0		3.1
2015/11/9		1Z091YW70394733039		RUTLEDGE	GA	30663	ACC	LDR	Delivery Area Surcharge - Extended	1	0	8	0		3.8
2015/11/9		1Z091YW70394733039		RUTLEDGE	GA	30663	FSC	FSC	Fuel Surcharge	1	0	8	47.97		2.52
2015/11/9		1Z091YW70394733039		RUTLEDGE	GA	30663	INF	3	Ground Residential Third Party	1	0	8	0		0
2015/11/9		1Z091YW70394675254		MOORESVILLE	MO	64664	FRT	3	Ground Residential Third Party	1	30	6	0		24.57
2015/11/9		1Z091YW70394675254		MOORESVILLE	MO	64664	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/9		1Z091YW70394675254		MOORESVILLE	MO	64664	ACC	LDR	Delivery Area Surcharge - Extended	1	0	6	0		3.8
2015/11/9		1Z091YW70394675254		MOORESVILLE	MO	64664	FSC	FSC	Fuel Surcharge	1	0	6	31.47		1.65
2015/11/9		1Z091YW70394675254		MOORESVILLE	MO	64664	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/9		1Z091YW70393286668		SAINT JOSEPH	MO	64507	FRT	3	Ground Residential Third Party	1	30	6	0		24.57
2015/11/9		1Z091YW70393286668		SAINT JOSEPH	MO	64507	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/9		1Z091YW70393286668		SAINT JOSEPH	MO	64507	FSC	FSC	Fuel Surcharge	1	0	6	27.67		1.45
2015/11/9		1Z091YW70393286668		SAINT JOSEPH	MO	64507	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/9		1Z091YW70393610084		MONTICELLO	AR	71655	FRT	3	Ground Commercial Third Party	1	30	7	0		28.53
2015/11/9		1Z091YW70393610084		MONTICELLO	AR	71655	ACC	LDC	Delivery Area Surcharge - Extended	1	0	7	0		2.2
2015/11/9		1Z091YW70393610084		MONTICELLO	AR	71655	FSC	FSC	Fuel Surcharge	1	0	7	30.73		1.61
2015/11/9		1Z091YW70393610084		MONTICELLO	AR	71655	INF	3	Ground Commercial Third Party	1	0	7	0		0
2015/11/9		1Z091YW70394850091		Morrison	IL	61270	FRT	3	Ground Commercial Third Party	1	30	7	0		28.53
2015/11/9		1Z091YW70394850091		Morrison	IL	61270	ACC	RDC	Delivery Area Surcharge	1	0	7	0		2.2
2015/11/9		1Z091YW70394850091		Morrison	IL	61270	FSC	FSC	Fuel Surcharge	1	0	7	30.73		1.61
2015/11/9		1Z091YW70394850091		Morrison	IL	61270	INF	3	Ground Commercial Third Party	1	0	7	0		0
2015/11/9		1Z091YW70390331328		ROUND ROCK	TX	78664	FRT	3	Ground Residential Third Party	1	60	6	0		38.29
2015/11/9		1Z091YW70390331328		ROUND ROCK	TX	78664	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/9		1Z091YW70390331328		ROUND ROCK	TX	78664	FSC	FSC	Fuel Surcharge	1	0	6	41.39		2.17
2015/11/9		1Z091YW70390331328		ROUND ROCK	TX	78664	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/10		1Z091YW70397608660		UPLAND	CA	91784	FRT	3	Ground Residential Third Party	1	30	2	0		13.01
2015/11/10		1Z091YW70397608660		UPLAND	CA	91784	ACC	RES	Residential Surcharge	1	0	2	0		3.1
2015/11/10		1Z091YW70397608660		UPLAND	CA	91784	FSC	FSC	Fuel Surcharge	1	0	2	16.11		0.85
2015/11/10		1Z091YW70397608660		UPLAND	CA	91784	INF	3	Ground Residential Third Party	1	0	2	0		0
2015/11/10		1Z091YW70398246433		SOUTH LAKE TAHOE	CA	96150	FRT	3	Ground Residential Third Party	1	30	4	0		16.65
2015/11/10		1Z091YW70398246433		SOUTH LAKE TAHOE	CA	96150	ACC	RES	Residential Surcharge	1	0	4	0		3.1
2015/11/10		1Z091YW70398246433		SOUTH LAKE TAHOE	CA	96150	ACC	RDR	Delivery Area Surcharge	1	0	4	0		3
2015/11/10		1Z091YW70398246433		SOUTH LAKE TAHOE	CA	96150	FSC	FSC	Fuel Surcharge	1	0	4	22.75		1.19
2015/11/10		1Z091YW70398246433		SOUTH LAKE TAHOE	CA	96150	INF	3	Ground Residential Third Party	1	0	4	0		0
2015/11/10		1Z091YW70397729477		WACO	TX	76712	FRT	3	Ground Residential Third Party	1	30	6	0		24.57
2015/11/10		1Z091YW70397729477		WACO	TX	76712	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/10		1Z091YW70397729477		WACO	TX	76712	FSC	FSC	Fuel Surcharge	1	0	6	27.67		1.45
2015/11/10		1Z091YW70397729477		WACO	TX	76712	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/10		1Z091YW70395573282		SANTA FE	NM	87501	FRT	3	Ground Residential Third Party	1	30	5	0		19.72
2015/11/10		1Z091YW70395573282		SANTA FE	NM	87501	ACC	RES	Residential Surcharge	1	0	5	0		3.1
2015/11/10		1Z091YW70395573282		SANTA FE	NM	87501	FSC	FSC	Fuel Surcharge	1	0	5	22.82		1.2
2015/11/10		1Z091YW70395573282		SANTA FE	NM	87501	INF	3	Ground Residential Third Party	1	0	5	0		0
2015/11/10		1Z091YW70395189304		JOSHUA	TX	76058	FRT	3	Ground Residential Third Party	1	38	6	0		29.87
2015/11/10		1Z091YW70395189304		JOSHUA	TX	76058	ACC	RES	Residential Surcharge	1	0	6	0		3.1
2015/11/10		1Z091YW70395189304		JOSHUA	TX	76058	FSC	FSC	Fuel Surcharge	1	0	6	32.97		1.73
2015/11/10		1Z091YW70395189304		JOSHUA	TX	76058	INF	3	Ground Residential Third Party	1	0	6	0		0
2015/11/10		1Z091YW70399649514		Humble	TX	77338	FRT	3	Ground Commercial Third Party	1	38	6	0		29.87
2015/11/10		1Z091YW70399649514		Humble	TX	77338	FSC	FSC	Fuel Surcharge	1	0	6	29.87		1.57
2015/11/10		1Z091YW70399649514		Humble	TX	77338	INF	3	Ground Commercial Third Party	1	0	6	0		0
2015/11/10		1Z091YW70396677409		JOHNSTOWN	CO	80534	FRT	3	Ground Residential Third Party	1	30	5	0		19.72
2015/11/10		1Z091YW70396677409		JOHNSTOWN	CO	80534	ACC	RES	Residential Surcharge	1	0	5	0		3.1
2015/11/10		1Z091YW70396677409		JOHNSTOWN	CO	80534	ACC	RDR	Delivery Area Surcharge	1	0	5	0		3
2015/11/10		1Z091YW70396677409		JOHNSTOWN	CO	80534	FSC	FSC	Fuel Surcharge	1	0	5	25.82		1.36
2015/11/10		1Z091YW70396677409		JOHNSTOWN	CO	80534	INF	3	Ground Residential Third Party	1	0	5	0		0
2015/11/10		1Z091YW70399407043		JACKSONVILLE	AR	72076	FRT	3	Ground Residential Third Party	1	10	7	0		13.12
2015/11/10		1Z091YW70399407043		JACKSONVILLE	AR	72076	ACC	RES	Residential Surcharge	1	0	7	0		3.1
2015/11/10		1Z091YW70399407043		JACKSONVILLE	AR	72076	FSC	FSC	Fuel Surcharge	1	0	7	16.22		0.85
2015/11/10		1Z091YW70399407043		JACKSONVILLE	AR	72076	INF	3	Ground Residential Third Party	1	0	7	0		0
2015/11/12		1Z091YW70391447407		LONG BEACH	CA	90807	FRT	3	Ground Residential Third Party	1	38	2	0		14.52
2015/11/12		1Z091YW70391447407		LONG BEACH	CA	90807	ACC	RES	Residential Surcharge	1	0	2	0		3.1
2015/11/12		1Z091YW70391447407		LONG BEACH	CA	90807	FSC	FSC	Fuel Surcharge	1	0	2	17.62		0.93
2015/11/12		1Z091YW70391447407		LONG BEACH	CA	90807	INF	3	Ground Residential Third Party	1	0	2	0		0
