Ship Date;Tracking;City;State;Zip;Weight;Zone;;;;
2015/11/16;1Z091YW70392112874;LEESBURG;OH;45135;0;8;INF;3;Ground Residential Third Party;0
2015/11/16;1Z091YW70391512907;DELANO;MN;55328;30;7;FRT;3;Ground Residential Third Party;17.69
2015/11/16;1Z091YW70391512907;DELANO;MN;55328;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/16;1Z091YW70391512907;DELANO;MN;55328;0;7;ACC;RDR;Delivery Area Surcharge;3
2015/11/16;1Z091YW70391512907;DELANO;MN;55328;0;7;FSC;FSC;Fuel Surcharge;1.19
2015/11/16;1Z091YW70391512907;DELANO;MN;55328;0;7;INF;3;Ground Residential Third Party;0
2015/11/16;1Z091YW70399590756;MCCALL;ID;83638;13;5;FRT;3;Ground Commercial Third Party;6.99
2015/11/16;1Z091YW70399590756;MCCALL;ID;83638;13;5;ACC;RES;Residential Surcharge;4.04
2015/11/16;1Z091YW70399590756;MCCALL;ID;83638;0;5;ACC;LDC;Delivery Area Surcharge - Extended;2.2
2015/11/16;1Z091YW70399590756;MCCALL;ID;83638;0;5;FSC;FSC;Fuel Surcharge;0.48
2015/11/16;1Z091YW70398949979;LEXINGTON;KY;40505;60;8;FRT;3;Ground Residential Third Party;30.67
2015/11/16;1Z091YW70398949979;LEXINGTON;KY;40505;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/16;1Z091YW70398949979;LEXINGTON;KY;40505;0;8;FSC;FSC;Fuel Surcharge;1.72
2015/11/16;1Z091YW70398949979;LEXINGTON;KY;40505;0;8;INF;3;Ground Residential Third Party;0
2015/11/16;1Z091YW70393325777;Gresham;WI;54128;30;7;FRT;3;Ground Residential Third Party;17.69
2015/11/16;1Z091YW70393325777;Gresham;WI;54128;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/16;1Z091YW70393325777;Gresham;WI;54128;0;7;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/16;1Z091YW70393325777;Gresham;WI;54128;0;7;FSC;FSC;Fuel Surcharge;1.23
2015/11/16;1Z091YW70393325777;Gresham;WI;54128;0;7;INF;3;Ground Residential Third Party;0
2015/11/16;1Z091YW70393587637;ROBERTSDALE;AL;36567;30;7;FRT;3;Ground Commercial Third Party;17.12
2015/11/16;1Z091YW70393587637;ROBERTSDALE;AL;36567;0;7;ACC;LDC;Delivery Area Surcharge - Extended;2.2
2015/11/16;1Z091YW70393587637;ROBERTSDALE;AL;36567;0;7;FSC;FSC;Fuel Surcharge;1.01
2015/11/16;1Z091YW70393587637;ROBERTSDALE;AL;36567;0;7;INF;3;Ground Commercial Third Party;0
2015/11/16;1Z091YW70391937315;LUDOWICI;GA;31316;21;8;FRT;3;Ground Residential Third Party;15.3
2015/11/16;1Z091YW70391937315;LUDOWICI;GA;31316;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/16;1Z091YW70391937315;LUDOWICI;GA;31316;0;8;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/16;1Z091YW70391937315;LUDOWICI;GA;31316;0;8;FSC;FSC;Fuel Surcharge;1.11
2015/11/16;1Z091YW70391937315;LUDOWICI;GA;31316;0;8;INF;3;Ground Residential Third Party;0
2015/11/17;1Z091YW70393466731;SMYRNA;TN;37167;10;7;FRT;3;Ground Residential Third Party;8.39
2015/11/17;1Z091YW70393466731;SMYRNA;TN;37167;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/17;1Z091YW70393466731;SMYRNA;TN;37167;0;7;FSC;FSC;Fuel Surcharge;0.55
2015/11/17;1Z091YW70393466731;SMYRNA;TN;37167;0;7;INF;3;Ground Residential Third Party;0
2015/11/17;1Z091YW70394499749;MILFORD;DE;19963;40;8;FRT;3;Ground Residential Third Party;24.64
2015/11/17;1Z091YW70394499749;MILFORD;DE;19963;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/17;1Z091YW70394499749;MILFORD;DE;19963;0;8;ACC;RDR;Delivery Area Surcharge;3
2015/11/17;1Z091YW70394499749;MILFORD;DE;19963;0;8;FSC;FSC;Fuel Surcharge;1.56
2015/11/17;1Z091YW70394499749;MILFORD;DE;19963;0;8;INF;3;Ground Residential Third Party;0
2015/11/17;1Z091YW70394396958;KANSAS CITY;MO;64155;40;6;FRT;3;Ground Residential Third Party;17.93
2015/11/17;1Z091YW70394396958;KANSAS CITY;MO;64155;0;6;ACC;RES;Residential Surcharge;2.01
2015/11/17;1Z091YW70394396958;KANSAS CITY;MO;64155;0;6;FSC;FSC;Fuel Surcharge;1.05
2015/11/17;1Z091YW70394396958;KANSAS CITY;MO;64155;0;6;INF;3;Ground Residential Third Party;0
2015/11/17;1Z091YW70391122365;APPLETON;WI;54913;30;7;FRT;3;Ground Residential Third Party;17.69
2015/11/17;1Z091YW70391122365;APPLETON;WI;54913;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/17;1Z091YW70391122365;APPLETON;WI;54913;0;7;FSC;FSC;Fuel Surcharge;1.03
2015/11/17;1Z091YW70391122365;APPLETON;WI;54913;0;7;INF;3;Ground Residential Third Party;0
2015/11/17;1Z091YW70392519971;GOOD THUNDER;MN;56037;30;7;FRT;3;Ground Residential Third Party;17.69
2015/11/17;1Z091YW70392519971;GOOD THUNDER;MN;56037;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/17;1Z091YW70392519971;GOOD THUNDER;MN;56037;0;7;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/17;1Z091YW70392519971;GOOD THUNDER;MN;56037;0;7;FSC;FSC;Fuel Surcharge;1.23
2015/11/17;1Z091YW70392519971;GOOD THUNDER;MN;56037;0;7;INF;3;Ground Residential Third Party;0
2015/11/17;1Z091YW70391986003;WASILLA;AK;99654;30;44;FRT;3;Ground Residential Third Party;74.09
2015/11/17;1Z091YW70391986003;WASILLA;AK;99654;0;44;ACC;RES;Residential Surcharge;2.01
2015/11/17;1Z091YW70391986003;WASILLA;AK;99654;0;44;FSC;FSC;Fuel Surcharge;3.99
2015/11/17;1Z091YW70391986003;WASILLA;AK;99654;0;44;INF;3;Ground Residential Third Party;0
2015/11/17;1Z091YW70391112410;MILFORD;MI;48381;33;8;FRT;3;Ground Residential Third Party;22.05
2015/11/17;1Z091YW70391112410;MILFORD;MI;48381;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/17;1Z091YW70391112410;MILFORD;MI;48381;0;8;FSC;FSC;Fuel Surcharge;1.26
2015/11/17;1Z091YW70391112410;MILFORD;MI;48381;0;8;INF;3;Ground Residential Third Party;0
2015/11/17;1Z091YW70390913780;FAIRFIELD;IA;52556;30;7;FRT;3;Ground Residential Third Party;17.69
2015/11/17;1Z091YW70390913780;FAIRFIELD;IA;52556;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/17;1Z091YW70390913780;FAIRFIELD;IA;52556;0;7;ACC;RDR;Delivery Area Surcharge;3
2015/11/17;1Z091YW70390913780;FAIRFIELD;IA;52556;0;7;FSC;FSC;Fuel Surcharge;1.19
2015/11/17;1Z091YW70390913780;FAIRFIELD;IA;52556;0;7;INF;3;Ground Residential Third Party;0
2015/11/18;1Z091YW70393331028;YAKIMA;WA;98903;38;5;FRT;3;Ground Residential Third Party;14.29
2015/11/18;1Z091YW70393331028;YAKIMA;WA;98903;0;5;ACC;RES;Residential Surcharge;2.01
2015/11/18;1Z091YW70393331028;YAKIMA;WA;98903;0;5;FSC;FSC;Fuel Surcharge;0.85
2015/11/18;1Z091YW70393331028;YAKIMA;WA;98903;0;5;INF;3;Ground Residential Third Party;0
2015/11/18;1Z091YW70390507513;SAN ANTONIO;TX;78222;30;6;FRT;3;Ground Residential Third Party;15.24
2015/11/18;1Z091YW70390507513;SAN ANTONIO;TX;78222;0;6;ACC;RES;Residential Surcharge;2.01
2015/11/18;1Z091YW70390507513;SAN ANTONIO;TX;78222;0;6;FSC;FSC;Fuel Surcharge;0.9
2015/11/18;1Z091YW70390507513;SAN ANTONIO;TX;78222;0;6;INF;3;Ground Residential Third Party;0
2015/11/18;1Z091YW70393668120;BEDIAS;TX;77831;30;6;FRT;3;Ground Commercial Third Party;14.75
2015/11/18;1Z091YW70393668120;BEDIAS;TX;77831;0;6;ACC;LDC;Delivery Area Surcharge - Extended;2.2
2015/11/18;1Z091YW70393668120;BEDIAS;TX;77831;0;6;FSC;FSC;Fuel Surcharge;0.89
2015/11/18;1Z091YW70393668120;BEDIAS;TX;77831;0;6;INF;3;Ground Commercial Third Party;0
2015/11/18;1Z091YW70394780050;PALM SPRINGS;FL;33461;10;8;FRT;3;Ground Residential Third Party;9.28
2015/11/18;1Z091YW70394780050;PALM SPRINGS;FL;33461;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/18;1Z091YW70394780050;PALM SPRINGS;FL;33461;0;8;FSC;FSC;Fuel Surcharge;0.59
2015/11/18;1Z091YW70394780050;PALM SPRINGS;FL;33461;0;8;INF;3;Ground Residential Third Party;0
2015/11/18;1Z091YW70392407467;VIRGINIA BEACH;VA;23462;10;8;FRT;3;Ground Residential Third Party;9.28
2015/11/18;1Z091YW70392407467;VIRGINIA BEACH;VA;23462;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/18;1Z091YW70392407467;VIRGINIA BEACH;VA;23462;0;8;FSC;FSC;Fuel Surcharge;0.59
2015/11/18;1Z091YW70392407467;VIRGINIA BEACH;VA;23462;0;8;INF;3;Ground Residential Third Party;0
2015/11/18;1Z091YW70393322887;LAWRENCEVILLE;GA;30045;40;8;FRT;3;Ground Residential Third Party;24.64
2015/11/18;1Z091YW70393322887;LAWRENCEVILLE;GA;30045;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/18;1Z091YW70393322887;LAWRENCEVILLE;GA;30045;0;8;FSC;FSC;Fuel Surcharge;1.4
2015/11/18;1Z091YW70393322887;LAWRENCEVILLE;GA;30045;0;8;INF;3;Ground Residential Third Party;0
2015/11/18;1Z091YW70393938892;NEW YORK;NY;10002;40;8;FRT;3;Ground Commercial Third Party;23.82
2015/11/18;1Z091YW70393938892;NEW YORK;NY;10002;0;8;FSC;FSC;Fuel Surcharge;1.25
2015/11/18;1Z091YW70393938892;NEW YORK;NY;10002;0;8;INF;3;Ground Commercial Third Party;0
2015/11/18;1Z091YW70393279103;COLUMBUS;OH;43224;30;8;FRT;3;Ground Residential Third Party;21.05
2015/11/18;1Z091YW70393279103;COLUMBUS;OH;43224;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/18;1Z091YW70393279103;COLUMBUS;OH;43224;0;8;FSC;FSC;Fuel Surcharge;1.21
2015/11/18;1Z091YW70393279103;COLUMBUS;OH;43224;0;8;INF;3;Ground Residential Third Party;0
2015/11/18;1Z091YW70394284935;PLAINFIELD;IA;50666;30;7;FRT;3;Ground Residential Third Party;17.69
2015/11/18;1Z091YW70394284935;PLAINFIELD;IA;50666;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/18;1Z091YW70394284935;PLAINFIELD;IA;50666;0;7;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/18;1Z091YW70394284935;PLAINFIELD;IA;50666;0;7;FSC;FSC;Fuel Surcharge;1.23
2015/11/18;1Z091YW70394284935;PLAINFIELD;IA;50666;0;7;INF;3;Ground Residential Third Party;0
2015/11/18;1Z091YW70393961946;HARRODSBURG;KY;40330;30;8;FRT;3;Ground Commercial Third Party;20.37
2015/11/18;1Z091YW70393961946;HARRODSBURG;KY;40330;0;8;ACC;LDC;Delivery Area Surcharge - Extended;2.2
2015/11/18;1Z091YW70393961946;HARRODSBURG;KY;40330;0;8;FSC;FSC;Fuel Surcharge;1.19
2015/11/18;1Z091YW70393961946;HARRODSBURG;KY;40330;0;8;INF;3;Ground Commercial Third Party;0
2015/11/18;1Z091YW70392365833;WELLS;NY;12190;14;8;FRT;3;Ground Residential Third Party;10.78
2015/11/18;1Z091YW70392365833;WELLS;NY;12190;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/18;1Z091YW70392365833;WELLS;NY;12190;0;8;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/18;1Z091YW70392365833;WELLS;NY;12190;0;8;FSC;FSC;Fuel Surcharge;0.87
2015/11/18;1Z091YW70391020840;PARK FALLS;WI;54552;38;7;FRT;3;Ground Residential Third Party;20.79
2015/11/18;1Z091YW70391020840;PARK FALLS;WI;54552;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/18;1Z091YW70391020840;PARK FALLS;WI;54552;0;7;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/18;1Z091YW70391020840;PARK FALLS;WI;54552;0;7;FSC;FSC;Fuel Surcharge;1.4
2015/11/18;1Z091YW70391020840;PARK FALLS;WI;54552;0;7;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70392201081;GARDENA;CA;90247;30;2;FRT;3;Ground Residential Third Party;8.07
2015/11/19;1Z091YW70392201081;GARDENA;CA;90247;0;2;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70392201081;GARDENA;CA;90247;0;2;FSC;FSC;Fuel Surcharge;0.53
2015/11/19;1Z091YW70392201081;GARDENA;CA;90247;0;2;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70392983157;COLVILLE;WA;99114;10;5;FRT;3;Ground Residential Third Party;7.11
2015/11/19;1Z091YW70392983157;COLVILLE;WA;99114;0;5;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70392983157;COLVILLE;WA;99114;0;5;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/19;1Z091YW70392983157;COLVILLE;WA;99114;0;5;FSC;FSC;Fuel Surcharge;0.68
2015/11/19;1Z091YW70392983157;COLVILLE;WA;99114;0;5;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70394122618;RICHTON;MS;39476;30;7;FRT;3;Ground Residential Third Party;17.69
2015/11/19;1Z091YW70394122618;RICHTON;MS;39476;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70394122618;RICHTON;MS;39476;0;7;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/19;1Z091YW70394122618;RICHTON;MS;39476;0;7;FSC;FSC;Fuel Surcharge;1.23
2015/11/19;1Z091YW70394122618;RICHTON;MS;39476;0;7;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70392323048;PITTSBURG;TX;75686;60;6;FRT;3;Ground Residential Third Party;21.82
2015/11/19;1Z091YW70392323048;PITTSBURG;TX;75686;0;6;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70392323048;PITTSBURG;TX;75686;0;6;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/19;1Z091YW70392323048;PITTSBURG;TX;75686;0;6;FSC;FSC;Fuel Surcharge;1.45
2015/11/19;1Z091YW70392323048;PITTSBURG;TX;75686;0;6;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70390637669;SAN RAMON;CA;94582;40;4;FRT;3;Ground Residential Third Party;11.82
2015/11/19;1Z091YW70390637669;SAN RAMON;CA;94582;0;4;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70390637669;SAN RAMON;CA;94582;0;4;FSC;FSC;Fuel Surcharge;0.73
2015/11/19;1Z091YW70390637669;SAN RAMON;CA;94582;0;4;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70398313066;PORTAGE;PA;15946;30;8;FRT;3;Ground Residential Third Party;21.05
2015/11/19;1Z091YW70398313066;PORTAGE;PA;15946;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70398313066;PORTAGE;PA;15946;0;8;ACC;RDR;Delivery Area Surcharge;3
2015/11/19;1Z091YW70398313066;PORTAGE;PA;15946;0;8;FSC;FSC;Fuel Surcharge;1.37
2015/11/19;1Z091YW70398313066;PORTAGE;PA;15946;0;8;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70396434073;NORTH EAST;PA;16428;30;8;FRT;3;Ground Residential Third Party;21.05
2015/11/19;1Z091YW70396434073;NORTH EAST;PA;16428;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70396434073;NORTH EAST;PA;16428;0;8;ACC;RDR;Delivery Area Surcharge;3
2015/11/19;1Z091YW70396434073;NORTH EAST;PA;16428;0;8;FSC;FSC;Fuel Surcharge;1.37
2015/11/19;1Z091YW70396434073;NORTH EAST;PA;16428;0;8;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70390912567;TAMPA;FL;33614;10;8;FRT;3;Ground Residential Third Party;9.28
2015/11/19;1Z091YW70390912567;TAMPA;FL;33614;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70390912567;TAMPA;FL;33614;0;8;FSC;FSC;Fuel Surcharge;0.59
2015/11/19;1Z091YW70390912567;TAMPA;FL;33614;0;8;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70394194176;ALEXANDRIA;KY;41001;40;8;FRT;3;Ground Residential Third Party;24.64
2015/11/19;1Z091YW70394194176;ALEXANDRIA;KY;41001;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70394194176;ALEXANDRIA;KY;41001;0;8;ACC;RDR;Delivery Area Surcharge;3
2015/11/19;1Z091YW70394194176;ALEXANDRIA;KY;41001;0;8;FSC;FSC;Fuel Surcharge;1.56
2015/11/19;1Z091YW70394194176;ALEXANDRIA;KY;41001;0;8;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70390751982;TORRINGTON;WY;82240;30;5;FRT;3;Ground Commercial Third Party;11.84
2015/11/19;1Z091YW70390751982;TORRINGTON;WY;82240;0;5;ACC;LDC;Delivery Area Surcharge - Extended;2.2
2015/11/19;1Z091YW70390751982;TORRINGTON;WY;82240;0;5;FSC;FSC;Fuel Surcharge;0.74
2015/11/19;1Z091YW70390751982;TORRINGTON;WY;82240;0;5;INF;3;Ground Commercial Third Party;0
2015/11/19;1Z091YW70391589997;Fort Lauderdale;FL;33315;10;8;FRT;3;Ground Commercial Third Party;8.99
2015/11/19;1Z091YW70391589997;Fort Lauderdale;FL;33315;0;8;FSC;FSC;Fuel Surcharge;0.47
2015/11/19;1Z091YW70391589997;Fort Lauderdale;FL;33315;0;8;INF;3;Ground Commercial Third Party;0
2015/11/19;1Z091YW70394392201;MINNEAPOLIS;MN;55408;30;7;FRT;3;Ground Residential Third Party;17.69
2015/11/19;1Z091YW70394392201;MINNEAPOLIS;MN;55408;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70394392201;MINNEAPOLIS;MN;55408;0;7;FSC;FSC;Fuel Surcharge;1.03
2015/11/19;1Z091YW70394392201;MINNEAPOLIS;MN;55408;0;7;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70390625225;JOHNSTOWN;PA;15906;27;8;FRT;3;Ground Residential Third Party;17.91
2015/11/19;1Z091YW70390625225;JOHNSTOWN;PA;15906;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70390625225;JOHNSTOWN;PA;15906;0;8;FSC;FSC;Fuel Surcharge;1.05
2015/11/19;1Z091YW70390625225;JOHNSTOWN;PA;15906;0;8;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70393224037;BRONX;NY;10453;17;8;FRT;3;Ground Residential Third Party;12.93
2015/11/19;1Z091YW70393224037;BRONX;NY;10453;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70393224037;BRONX;NY;10453;0;8;FSC;FSC;Fuel Surcharge;0.79
2015/11/19;1Z091YW70395812497;HOUMA;LA;70363;10;7;FRT;3;Ground Residential Third Party;8.39
2015/11/19;1Z091YW70395812497;HOUMA;LA;70363;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70395812497;HOUMA;LA;70363;0;7;FSC;FSC;Fuel Surcharge;0.55
2015/11/19;1Z091YW70395812497;HOUMA;LA;70363;0;7;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70395245887;BRAINERD;MN;56401;30;7;FRT;3;Ground Residential Third Party;17.69
2015/11/19;1Z091YW70395245887;BRAINERD;MN;56401;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70395245887;BRAINERD;MN;56401;0;7;ACC;RDR;Delivery Area Surcharge;3
2015/11/19;1Z091YW70395245887;BRAINERD;MN;56401;0;7;FSC;FSC;Fuel Surcharge;1.19
2015/11/19;1Z091YW70395245887;BRAINERD;MN;56401;0;7;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70396666117;STREATOR;IL;61364;34;7;FRT;3;Ground Residential Third Party;18.92
2015/11/19;1Z091YW70396666117;STREATOR;IL;61364;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70396666117;STREATOR;IL;61364;0;7;ACC;RDR;Delivery Area Surcharge;3
2015/11/19;1Z091YW70396666117;STREATOR;IL;61364;0;7;FSC;FSC;Fuel Surcharge;1.26
2015/11/19;1Z091YW70393461272;MIAMI;FL;33165;8;8;FRT;3;Ground Residential Third Party;8.19
2015/11/19;1Z091YW70393461272;MIAMI;FL;33165;0;8;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70393461272;MIAMI;FL;33165;0;8;FSC;FSC;Fuel Surcharge;0.53
2015/11/19;1Z091YW70394325300;TAYLORVILLE;IL;62568;30;7;FRT;3;Ground Residential Third Party;17.69
2015/11/19;1Z091YW70394325300;TAYLORVILLE;IL;62568;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70394325300;TAYLORVILLE;IL;62568;0;7;ACC;RDR;Delivery Area Surcharge;3
2015/11/19;1Z091YW70394325300;TAYLORVILLE;IL;62568;0;7;FSC;FSC;Fuel Surcharge;1.19
2015/11/19;1Z091YW70394325300;TAYLORVILLE;IL;62568;0;7;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70390957715;BISMARCK;ND;58501;30;6;FRT;3;Ground Residential Third Party;15.24
2015/11/19;1Z091YW70390957715;BISMARCK;ND;58501;0;6;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70390957715;BISMARCK;ND;58501;0;6;FSC;FSC;Fuel Surcharge;0.9
2015/11/19;1Z091YW70390957715;BISMARCK;ND;58501;0;6;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70393202328;BASTROP;LA;71220;30;7;FRT;3;Ground Residential Third Party;17.69
2015/11/19;1Z091YW70393202328;BASTROP;LA;71220;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70393202328;BASTROP;LA;71220;0;7;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/19;1Z091YW70393202328;BASTROP;LA;71220;0;7;FSC;FSC;Fuel Surcharge;1.23
2015/11/19;1Z091YW70393202328;BASTROP;LA;71220;0;7;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70393183135;WEST ALLIS;WI;53219;30;7;FRT;3;Ground Residential Third Party;17.69
2015/11/19;1Z091YW70393183135;WEST ALLIS;WI;53219;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70393183135;WEST ALLIS;WI;53219;0;7;FSC;FSC;Fuel Surcharge;1.03
2015/11/19;1Z091YW70393183135;WEST ALLIS;WI;53219;0;7;INF;3;Ground Residential Third Party;0
2015/11/19;1Z091YW70390104145;GRAND BAY;AL;36541;25;7;FRT;3;Ground Residential Third Party;15.4
2015/11/19;1Z091YW70390104145;GRAND BAY;AL;36541;0;7;ACC;RES;Residential Surcharge;2.01
2015/11/19;1Z091YW70390104145;GRAND BAY;AL;36541;0;7;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/19;1Z091YW70390104145;GRAND BAY;AL;36541;0;7;FSC;FSC;Fuel Surcharge;1.12
2015/11/19;1Z091YW70390104145;GRAND BAY;AL;36541;0;7;INF;3;Ground Residential Third Party;0
2015/11/20;1Z091YW70393849354;BEULAH;ND;58523;30;6;FRT;3;Ground Residential Third Party;15.24
2015/11/20;1Z091YW70393849354;BEULAH;ND;58523;0;6;ACC;RES;Residential Surcharge;2.01
2015/11/20;1Z091YW70393849354;BEULAH;ND;58523;0;6;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/20;1Z091YW70393849354;BEULAH;ND;58523;0;6;FSC;FSC;Fuel Surcharge;1.1
